name_tovar_ua;kod_tovar;brend;price;dlina;glubina;visota;spalnoe;image;mimage1;mimage2;mimage3;mimage4;mimage5;mimage6;mimage7;mimage8;mimage9;mimage10;mimage11;mimage12;mimage13;mimage14;mimage15;mimage16;mimage17;mimage18;mimage19;mimage20
Крісло Оксфорд;Т-52-1058-105220;ТМ МiaNotti;5220;74 см;71 см;79 см;0;images/konstanta-site/krislo-pufik/krslo-oksford/krslo-oksford-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil0.jpg;images/konstanta-site/krislo-pufik/krslo-oksford/krslo-oksford-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil1.jpg;images/konstanta-site/krislo-pufik/krslo-oksford/krslo-oksford-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil2.jpg;images/konstanta-site/krislo-pufik/krslo-oksford/krslo-oksford-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil3.jpg;images/konstanta-site/krislo-pufik/krslo-oksford/krslo-oksford-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil4.jpg;images/konstanta-site/krislo-pufik/krslo-oksford/krslo-oksford-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil5.jpg;images/konstanta-site/krislo-pufik/krslo-oksford/krslo-oksford-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil6.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Крісло-стілець Лаундж;Т-31-1058-105265;ТМ Konstanta;3165;60 см;60 см;87 см;0;images/konstanta-site/krislo-pufik/krslo-stlets-laundzh/krslo-stlets-laundzh-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil7.jpg;images/konstanta-site/krislo-pufik/krslo-stlets-laundzh/krslo-stlets-laundzh-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil8.jpg;images/konstanta-site/krislo-pufik/krslo-stlets-laundzh/krslo-stlets-laundzh-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil9.jpg;images/konstanta-site/krislo-pufik/krslo-stlets-laundzh/krslo-stlets-laundzh-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil10.jpg;images/konstanta-site/krislo-pufik/krslo-stlets-laundzh/krslo-stlets-laundzh-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil11.jpg;images/konstanta-site/krislo-pufik/krslo-stlets-laundzh/krslo-stlets-laundzh-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil12.jpg;images/konstanta-site/krislo-pufik/krslo-stlets-laundzh/krslo-stlets-laundzh-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil13.jpg;images/konstanta-site/krislo-pufik/krslo-stlets-laundzh/krslo-stlets-laundzh-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil14.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0
Крісло Twix;Т-65-1058-105265;"ТМ ""МiaNotti""";6565;75 см;75 см;75 см;0;images/konstanta-site/krislo-pufik/krslo-twix/krslo-twix-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil15.jpg;images/konstanta-site/krislo-pufik/krslo-twix/krslo-twix-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil16.jpg;images/konstanta-site/krislo-pufik/krslo-twix/krslo-twix-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil17.jpg;images/konstanta-site/krislo-pufik/krslo-twix/krslo-twix-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil18.jpg;images/konstanta-site/krislo-pufik/krslo-twix/krslo-twix-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil19.jpg;images/konstanta-site/krislo-pufik/krslo-twix/krslo-twix-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil20.jpg;images/konstanta-site/krislo-pufik/krslo-twix/krslo-twix-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil21.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Крісло Релакс-1;Т-76-1058-105290;ТМ MiaNotti;7690;79 см;92 см;104 см;0;images/konstanta-site/krislo-pufik/krslo-relaks-1/krslo-relaks-1-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil22.jpg;images/konstanta-site/krislo-pufik/krslo-relaks-1/krslo-relaks-1-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil23.jpg;images/konstanta-site/krislo-pufik/krslo-relaks-1/krslo-relaks-1-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil24.jpg;images/konstanta-site/krislo-pufik/krslo-relaks-1/krslo-relaks-1-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil25.jpg;images/konstanta-site/krislo-pufik/krslo-relaks-1/krslo-relaks-1-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil26.jpg;images/konstanta-site/krislo-pufik/krslo-relaks-1/krslo-relaks-1-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil27.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Крісло Solo;Т-51-1058-105275;"ТМ ""МiaNotti""";5175;74 см;71 см;79 см;0;images/konstanta-site/krislo-pufik/krslo-solo/krslo-solo-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil28.jpg;images/konstanta-site/krislo-pufik/krslo-solo/krslo-solo-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil29.jpg;images/konstanta-site/krislo-pufik/krslo-solo/krslo-solo-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil30.jpg;images/konstanta-site/krislo-pufik/krslo-solo/krslo-solo-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil31.jpg;images/konstanta-site/krislo-pufik/krslo-solo/krslo-solo-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil32.jpg;images/konstanta-site/krislo-pufik/krslo-solo/krslo-solo-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil33.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Крісло ""Барселона""";Т-10-1058-105270;ТМ Константа;10170;88 см;104 см;78 см;150 см х 72 см;images/konstanta-site/krislo-pufik/krslo-barselona/krslo-barselona-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil34.jpg;images/konstanta-site/krislo-pufik/krslo-barselona/krslo-barselona-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil35.jpg;images/konstanta-site/krislo-pufik/krslo-barselona/krslo-barselona-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil36.jpg;images/konstanta-site/krislo-pufik/krslo-barselona/krslo-barselona-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil37.jpg;images/konstanta-site/krislo-pufik/krslo-barselona/krslo-barselona-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil38.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Крісло Монреаль;Т-93-1058-105260;ТМ MiaNotti;9360;115см;105см;105см;0;images/konstanta-site/krislo-pufik/krslo-monreal/krslo-monreal-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil39.jpg;images/konstanta-site/krislo-pufik/krslo-monreal/krslo-monreal-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil40.jpg;images/konstanta-site/krislo-pufik/krslo-monreal/krslo-monreal-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil41.jpg;images/konstanta-site/krislo-pufik/krslo-monreal/krslo-monreal-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil42.jpg;images/konstanta-site/krislo-pufik/krslo-monreal/krslo-monreal-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil43.jpg;images/konstanta-site/krislo-pufik/krslo-monreal/krslo-monreal-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil44.jpg;images/konstanta-site/krislo-pufik/krslo-monreal/krslo-monreal-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil45.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Крісло Shiraz;Т-77-1058-105290;ТМ MiaNotti;7790;88см;100см;108см;0;images/konstanta-site/krislo-pufik/krslo-shiraz/krslo-shiraz-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil46.jpg;images/konstanta-site/krislo-pufik/krslo-shiraz/krslo-shiraz-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil47.jpg;images/konstanta-site/krislo-pufik/krslo-shiraz/krslo-shiraz-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil48.jpg;images/konstanta-site/krislo-pufik/krslo-shiraz/krslo-shiraz-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil49.jpg;images/konstanta-site/krislo-pufik/krslo-shiraz/krslo-shiraz-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil50.jpg;images/konstanta-site/krislo-pufik/krslo-shiraz/krslo-shiraz-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil51.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Крісло Роланд;Т-78-1058-105290;ТМ Константа;7890;89 см;93 см;100 см;0;images/konstanta-site/krislo-pufik/krslo-roland/krslo-roland-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil52.jpg;images/konstanta-site/krislo-pufik/krslo-roland/krslo-roland-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil53.jpg;images/konstanta-site/krislo-pufik/krslo-roland/krslo-roland-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil54.jpg;images/konstanta-site/krislo-pufik/krslo-roland/krslo-roland-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil55.jpg;images/konstanta-site/krislo-pufik/krslo-roland/krslo-roland-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil56.jpg;images/konstanta-site/krislo-pufik/krslo-roland/krslo-roland-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil57.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Крісло ""Бозен-1""";Т-80-1058-105290;ТМ Mia Notti;8090;102см;112см;94см;0;images/konstanta-site/krislo-pufik/krslo-bozen-1/krslo-bozen-1-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil58.jpg;images/konstanta-site/krislo-pufik/krslo-bozen-1/krslo-bozen-1-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil59.jpg;images/konstanta-site/krislo-pufik/krslo-bozen-1/krslo-bozen-1-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil60.jpg;images/konstanta-site/krislo-pufik/krslo-bozen-1/krslo-bozen-1-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil61.jpg;images/konstanta-site/krislo-pufik/krslo-bozen-1/krslo-bozen-1-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil62.jpg;images/konstanta-site/krislo-pufik/krslo-bozen-1/krslo-bozen-1-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil63.jpg;images/konstanta-site/krislo-pufik/krslo-bozen-1/krslo-bozen-1-kiev-vinnitsya-kovel-lviv-ivano-frankivsk-ternopil64.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
