name_tovar_ua;alias;kod_tovar;brend;price;dlina;glubina;visota;spalnoe;image;mimage1;mimage2;mimage3;mimage4;mimage5;mimage6;mimage7;mimage8;mimage9;mimage10;mimage11;color;proizvod;zag_razmer;material
Комод Асоль;;;MX;0;;;;;;;;;;;;;;;;;;;1150/925/515;
КОМОД ЛАНІТА;;;MX;0;;;;;;;;;;;;;;;;;;; В*Ш*Г - 1000*1000*500;
Комод Марія;;;MX;0;;;;;;;;;;;;;;;;;;;820/810/450;
Комод Маргарита;;;MX;0;;;;;;;;;;;;;;;;;;; 1000*450*900;
КОМОД НАТАЛІ;;;MX;0;;;;;;;;;;;;;;;;;;; В: 820 Г: 400 Ш: 900;
Комод Прованс;;;MX;0;;;;;;;;;;;;;;;;;;; 820/810/450;
Комод Сабріна;;;MX;0;;;;;;;;;;;;;;;;;;; В*Ш*Г - 820*800*400;
Комод Флоренція (МАСИВ ДУБА);;;MX;0;;;;;;;;;;;;;;;;;;;"В: 900 мм; Г: 450 мм; Ш: 1200 мм";
КОМОД ШОПЕН;;;MX;0;;;;;;;;;;;;;;;;;;; В*Ш*Г - 1000*1100*500;
Ліжко Galaxy;;;MX;0;;;;;;;;;;;;;;;;;;;" Під матрац:1600*2000мм; узголів'я - 810мм (інші розміри можливі по спец.замовленню)";
Ліжко Єва;;;MX;0;;;;;;;;;;;;;;;;;;;" Під матрац: 800*1900; 900*2000 (додаткова планка - опція)";
Ліжко Єва (Світлий горіх);;;MX;0;;;;;;;;;;;;;;;;;;;" Під матрац: 800*1900; 900*2000 (додаткова планка - опція)";
Ліжко Адріатика;;;MX;0;;;;;;;;;;;;;;;;;;;" 800*1900; ";
Ліжко Айріс (без узніжжя);;;MX;0;;;;;;;;;;;;;;;;;;;" Доступні розміри під матрац: 800*2000, 900*2000, 1200*2000, 1400*2000, 1600*2000, 1800*2000;";
Ліжко АЙРІС (З ПІДЙОМНИМ МЕХАНІЗМОМ);;;MX;0;;;;;;;;;;;;;;;;;;;" Доступні розміри під матрац: 1200*2000, 1400*2000, 1600*2000, 1800*2000; ";
Ліжко Айріс (з узніжжям);;;MX;0;;;;;;;;;;;;;;;;;;;" Доступні розміри під матрац: 800*2000, 900*2000, 1200*2000, 1400*2000, 1600*2000, 1800*2000;";
Ліжко Айріс (з ящиками);;;MX;0;;;;;;;;;;;;;;;;;;;" Доступні розміри під матрац: 800*2000, 900*2000, 1200*2000, 1400*2000, 1600*2000, 1800*2000;";
Ліжко Ассоль (З ПІДЙОМНИМ МЕХАНІЗМОМ);;;MX;0;;;;;;;;;;;;;;;;;;; Під матрац: 1600*2000мм, висота - 920мм;
Ліжко Ассоль (З ПІДЙОМНИМ МЕХАНІЗМОМ, м'яке);;;MX;0;;;;;;;;;;;;;;;;;;; Під матрац: 1600*2000;
Ліжко Баварія;;;MX;0;;;;;;;;;;;;;;;;;;;" 800*2000; 900*2000; ";
Ліжко Бай-Бай;;;MX;0;;;;;;;;;;;;;;;;;;; Під матрац:800*2000мм, висота 1700мм;
Ліжко Беатріс;;;MX;0;;;;;;;;;;;;;;;;;;;"Під матрац: 1600*2000; висота узголів'я - 1100; висота узніжжя - 480";
Ліжко Венера (Буковий щит);;;MX;0;;;;;;;;;;;;;;;;;;;"Доступні розміри під матрас: 900*2000, 1200*2000, 1400*2000, 1600*2000; Узголів'я - 750 мм";
Ліжко Волна;;;MX;0;;;;;;;;;;;;;;;;;;; Під матрац: 1600*2000мм (інші розміри можливі по спецзамовленню);
Ліжко Глорія;;;MX;0;;;;;;;;;;;;;;;;;;;"Доступні розміри під матрац: 900*2000, 1600*2000; Висота: узголів'я - 800 мм, узніжжя - 400 мм; Габарити: до ширини +120 мм, до довжини +80 мм ";
Ліжко Грація;;;MX;0;;;;;;;;;;;;;;;;;;;"Доступні розміри під матрац: 1600*2000; 1800*2000.";
Ліжко Дінара;;;MX;0;;;;;;;;;;;;;;;;;;;"Під матрац:1600*2000мм; узголів'я - 920мм (інші розміри можливі по спецзамовленню)";
Ліжко двоярусне Дісней;;;MX;0;;;;;;;;;;;;;;;;;;; 800*2000;
Ліжко двоярусне Кіра;;;MX;0;;;;;;;;;;;;;;;;;;; Під матрац: 800*2000мм, висота 1750мм;
Ліжко двоярусне Скандинавія;;;MX;0;;;;;;;;;;;;;;;;;;; I ярус 1400*2000 H=1100 II ярус 900*2000 H=700;
Ліжко двоярусне Троя;;;MX;0;;;;;;;;;;;;;;;;;;; Під матрац: 800*2000;
Ліжко Еко;;;MX;0;;;;;;;;;;;;;;;;;;;"Доступні розміри під матрац: 900*2000, 1600*2000; Висота: узголів'я - 800 мм, узніжжя - 400 мм; Габарити: до ширини + 40 мм, до довжини +40 мм ";
Ліжко Засоня;;;MX;0;;;;;;;;;;;;;;;;;;;Під матрац: 800*2000мм, висота 1700мм;
Ліжко Кароліна (без узніжжя);;;MX;0;;;;;;;;;;;;;;;;;;; 800, 900, 1200, 1400, 1600, 1800*2000;
Ліжко Кароліна (З ПІДЙОМНИМ МЕХАНІЗМОМ);;;MX;0;;;;;;;;;;;;;;;;;;; 1400, 1600, 1800*2000;
Ліжко Кароліна (з узніжжям);;;MX;0;;;;;;;;;;;;;;;;;;; 800, 900, 1200, 1400, 1600, 1800*2000;
Ліжко Лікерія (без узніжжя);;;MX;0;;;;;;;;;;;;;;;;;;; 800, 900, 1200, 1400, 1600, 1800;
Ліжко Лікерія (з узніжжям);;;MX;0;;;;;;;;;;;;;;;;;;;800, 900, 1200, 1400, 1600, 1800*2000;
Ліжко Лікерія-Люкс;;;MX;0;;;;;;;;;;;;;;;;;;; 800, 900, 1200, 1400, 1600, 1800*2000;
