name_tovar_ua;kod_tovar;brend;alias;price;matr_visot;matr_zhors;matr_nagruz;introtext_razm_price_vse;cont_name_harakt_vse;image;mimage1;mimage2;template
Міні-матрац City BRONX;C-79-32-66;City;mn-matrats-city-bronx-kiev-borispol-brovary-matras;1240;4;3;120 кг;"<tr><th scope=""row"">70х190</th><td>1 240 грн.</td></tr><tr><th scope=""row"">80х190</th><td>1 391 грн.</td></tr><tr><th scope=""row"">90х190</th><td>1 537 грн.</td></tr><tr><th scope=""row"">120х190</th><td>2 014 грн.</td></tr><tr><th scope=""row"">140х190</th><td>2 306 грн.</td></tr><tr><th scope=""row"">150х200</th><td>2 424 грн.</td></tr><tr><th scope=""row"">160х190</th><td>2 538 грн.</td></tr><tr><th scope=""row"">180х190</th><td>2 826 грн.</td></tr><tr><th scope=""row"">80х200</th><td>1 412 грн.</td></tr><tr><th scope=""row"">90х200</th><td>1 560 грн.</td></tr><tr><th scope=""row"">120х200</th><td>2 043 грн.</td></tr><tr><th scope=""row"">140х200</th><td>2 337 грн.</td></tr><tr><th scope=""row"">150х200</th><td>2 455 грн.</td></tr><tr><th scope=""row"">160х200</th><td>2 568 грн.</td></tr><tr><th scope=""row"">180х200</th><td>2 919 грн.</td></tr><tr><th scope=""row"">200х200</th><td>3 274 грн.</td></tr>";"<tr><th scope=""row"">Ширина, см</th><td>70,80,90,120,140,150,160,180,200</td></tr><tr><th scope=""row"">Довжина, см</th><td>190,200</td></tr><tr><th scope=""row"">Висота, см</th><td>4</td></tr><tr><th scope=""row"">Тип матрацу</th><td>Безпружинний</td></tr><tr><th scope=""row"">Наповнювач </th><td>Ортопедична піна</td></tr><tr><th scope=""row"">Наповнювач №2</th><td>-</td></tr><tr><th scope=""row"">Наповнювач №3</th><td>-</td></tr><tr><th scope=""row"">Гарантія</th><td>18 місяців</td></tr><tr><th scope=""row"">Тканина чохла</th><td>Жаккард</td></tr><tr><th scope=""row"">Тип чохла</th><td>Незнімний</td></tr><tr><th scope=""row"">Жорсткість</th><td>3</td></tr><tr><th scope=""row"">Навантаження</th><td>120 кг</td></tr><tr><th scope=""row"">Унікальні властивості</th><td>Вакуумне пакування</td></tr><tr><th scope=""row"">Додатково</th><td>Фіксатори по чотирьох кутах</td></tr><tr><th scope=""row"">Тип матраца</th><td>Безпружинний</td></tr>";images/EMM/mini-matras/mn-matrats-city-bronx/mn-matrats-city-bronx-kiev-odesa-lviv-0.jpg;images/EMM/mini-matras/img1-EMM.jpg;images/EMM/mini-matras/img2-EMM.jpg;16
Міні-матрац City QUEENS;C-69-81-85;City;mn-matrats-city-queens-kiev-borispol-brovary-matras;1505;4;4/5;120 кг;"<tr><th scope=""row"">70х190</th><td>1 505 грн.</td></tr><tr><th scope=""row"">80х190</th><td>1 689 грн.</td></tr><tr><th scope=""row"">90х190</th><td>1 866 грн.</td></tr><tr><th scope=""row"">120х190</th><td>2 446 грн.</td></tr><tr><th scope=""row"">140х190</th><td>2 800 грн.</td></tr><tr><th scope=""row"">150х200</th><td>2 945 грн.</td></tr><tr><th scope=""row"">160х190</th><td>3 081 грн.</td></tr><tr><th scope=""row"">180х190</th><td>3 432 грн.</td></tr><tr><th scope=""row"">80х200</th><td>1 715 грн.</td></tr><tr><th scope=""row"">90х200</th><td>1 894 грн.</td></tr><tr><th scope=""row"">120х200</th><td>2 481 грн.</td></tr><tr><th scope=""row"">140х200</th><td>2 838 грн.</td></tr><tr><th scope=""row"">150х200</th><td>2 983 грн.</td></tr><tr><th scope=""row"">160х200</th><td>3 119 грн.</td></tr><tr><th scope=""row"">180х200</th><td>3 545 грн.</td></tr><tr><th scope=""row"">200х200</th><td>3 977 грн.</td></tr>";"<tr><th scope=""row"">Ширина, см</th><td>70,80,90,120,140,150,160,180,200</td></tr><tr><th scope=""row"">Довжина, см</th><td>190,200</td></tr><tr><th scope=""row"">Висота, см</th><td>4</td></tr><tr><th scope=""row"">Тип матрацу</th><td>Безпружинний</td></tr><tr><th scope=""row"">Наповнювач </th><td>Ортопедична піна</td></tr><tr><th scope=""row"">Наповнювач №2</th><td>Термоповсть</td></tr><tr><th scope=""row"">Наповнювач №3</th><td>-</td></tr><tr><th scope=""row"">Гарантія</th><td>18 місяців</td></tr><tr><th scope=""row"">Тканина чохла</th><td>Жаккард</td></tr><tr><th scope=""row"">Тип чохла</th><td>Незнімний</td></tr><tr><th scope=""row"">Жорсткість</th><td>4/5</td></tr><tr><th scope=""row"">Навантаження</th><td>120 кг</td></tr><tr><th scope=""row"">Унікальні властивості</th><td>Вакуумне пакування</td></tr><tr><th scope=""row"">Додатково</th><td>Ефект 2 в 1,Фіксатори по чотирьох кутах</td></tr><tr><th scope=""row"">Тип матраца</th><td>Безпружинний</td></tr>";images/EMM/mini-matras/mn-matrats-city-queens/mn-matrats-city-queens-kiev-odesa-lviv-1.jpg;images/EMM/mini-matras/img1-EMM.jpg;images/EMM/mini-matras/img2-EMM.jpg;16
Міні-матрац City BROOKLYN;C-76-79-79;City;mn-matrats-city-brooklyn-kiev-borispol-brovary-matras;2020;5;4/5;120 кг;"<tr><th scope=""row"">70х190</th><td>2 020 грн.</td></tr><tr><th scope=""row"">80х190</th><td>2 266 грн.</td></tr><tr><th scope=""row"">90х190</th><td>2 504 грн.</td></tr><tr><th scope=""row"">120х190</th><td>3 283 грн.</td></tr><tr><th scope=""row"">140х190</th><td>3 757 грн.</td></tr><tr><th scope=""row"">150х200</th><td>3 950 грн.</td></tr><tr><th scope=""row"">160х190</th><td>4 135 грн.</td></tr><tr><th scope=""row"">180х190</th><td>4 605 грн.</td></tr><tr><th scope=""row"">80х200</th><td>2 301 грн.</td></tr><tr><th scope=""row"">90х200</th><td>2 542 грн.</td></tr><tr><th scope=""row"">120х200</th><td>3 329 грн.</td></tr><tr><th scope=""row"">140х200</th><td>3 808 грн.</td></tr><tr><th scope=""row"">150х200</th><td>4 002 грн.</td></tr><tr><th scope=""row"">160х200</th><td>4 185 грн.</td></tr><tr><th scope=""row"">180х200</th><td>4 757 грн.</td></tr><tr><th scope=""row"">200х200</th><td>5 336 грн.</td></tr>";"<tr><th scope=""row"">Ширина, см</th><td>70,80,90,120,140,150,160,180,200</td></tr><tr><th scope=""row"">Довжина, см</th><td>190,200</td></tr><tr><th scope=""row"">Висота, см</th><td>5</td></tr><tr><th scope=""row"">Тип матрацу</th><td>Безпружинний</td></tr><tr><th scope=""row"">Наповнювач </th><td>Піна Memory Foam</td></tr><tr><th scope=""row"">Наповнювач №2</th><td>Термоповсть</td></tr><tr><th scope=""row"">Наповнювач №3</th><td>Ортопедична піна</td></tr><tr><th scope=""row"">Гарантія</th><td>18 місяців</td></tr><tr><th scope=""row"">Тканина чохла</th><td>Жаккард</td></tr><tr><th scope=""row"">Тип чохла</th><td>Незнімний</td></tr><tr><th scope=""row"">Жорсткість</th><td>4/5</td></tr><tr><th scope=""row"">Навантаження</th><td>120 кг</td></tr><tr><th scope=""row"">Унікальні властивості</th><td>Вакуумне пакування</td></tr><tr><th scope=""row"">Додатково</th><td>Ефект 2 в 1,Фіксатори по чотирьох кутах</td></tr><tr><th scope=""row"">Тип матраца</th><td>Безпружинний</td></tr>";images/EMM/mini-matras/mn-matrats-city-brooklyn/mn-matrats-city-brooklyn-kiev-odesa-lviv-2.jpg;images/EMM/mini-matras/img1-EMM.jpg;images/EMM/mini-matras/img2-EMM.jpg;16
Ортопедичний матрац Freedom mini;F-73-77-32;Freedom;ortopedichnij-matrats-freedom-mini-kiev-borispol-brovary-matras;1023;4 см;3;120 кг;"<tr><th scope=""row"">70х190</th><td>1 023 грн.</td></tr><tr><th scope=""row"">80х190</th><td>1 149 грн.</td></tr><tr><th scope=""row"">90х190</th><td>1 269 грн.</td></tr><tr><th scope=""row"">120х190</th><td>1 663 грн.</td></tr><tr><th scope=""row"">140х190</th><td>1 904 грн.</td></tr><tr><th scope=""row"">150х190</th><td>2 002 грн.</td></tr><tr><th scope=""row"">160х190</th><td>2 095 грн.</td></tr><tr><th scope=""row"">180х190</th><td>2 334 грн.</td></tr><tr><th scope=""row"">80х200</th><td>1 166 грн.</td></tr><tr><th scope=""row"">90х200</th><td>1 288 грн.</td></tr><tr><th scope=""row"">120х200</th><td>1 688 грн.</td></tr><tr><th scope=""row"">140х200</th><td>1 931 грн.</td></tr><tr><th scope=""row"">150х200</th><td>2 028 грн.</td></tr><tr><th scope=""row"">160х200</th><td>2 121 грн.</td></tr><tr><th scope=""row"">180х200</th><td>2 411 грн.</td></tr><tr><th scope=""row"">200х200</th><td>2 704 грн.</td></tr>";"<tr><th scope=""row"">Висота, см</th><td>4 см</td></tr><tr><th scope=""row"">Тип матрацу</th><td>Безпружинний</td></tr><tr><th scope=""row"">Наповнювач </th><td>Ортопедична піна</td></tr><tr><th scope=""row"">Євроборт з піни по периметру</th><td>Відсутній</td></tr><tr><th scope=""row"">Гарантія</th><td>18 місяців</td></tr><tr><th scope=""row"">Тканина чохла</th><td>Жаккард</td></tr><tr><th scope=""row"">Тип чохла</th><td>Незнімний</td></tr><tr><th scope=""row"">Тип пружинного блока</th><td>Безпружинний</td></tr><tr><th scope=""row"">Жорсткість</th><td>3</td></tr><tr><th scope=""row"">Навантаження</th><td>120 кг</td></tr><tr><th scope=""row"">Унікальні властивості</th><td>Вакуумне пакування</td></tr><tr><th scope=""row"">Тип матраца</th><td>Безпружинний</td></tr>";images/EMM/mini-matras/ortopedichnij-matrats-freedom-mini/ortopedichnij-matrats-freedom-mini-kiev-odesa-lviv-3.jpg;images/EMM/mini-matras/img1-EMM.jpg;images/EMM/mini-matras/img2-EMM.jpg;16
Міні-матрац матрац Take&Go Bamboo TOP GREEN;T-69-32-71;Take&Go Bamboo;mn-matrats-matrats-takego-bamboo-top-green-kiev-borispol-brovary-matras;1418;5;3;0;"<tr><th scope=""row"">70х190</th><td>1 418 грн.</td></tr><tr><th scope=""row"">80х190</th><td>1 592 грн.</td></tr><tr><th scope=""row"">90х190</th><td>1 760 грн.</td></tr><tr><th scope=""row"">120х190</th><td>2 306 грн.</td></tr><tr><th scope=""row"">140х190</th><td>2 640 грн.</td></tr><tr><th scope=""row"">150х200</th><td>2 775 грн.</td></tr><tr><th scope=""row"">160х190</th><td>2 905 грн.</td></tr><tr><th scope=""row"">180х190</th><td>3 235 грн.</td></tr><tr><th scope=""row"">80х200</th><td>1 617 грн.</td></tr><tr><th scope=""row"">90х200</th><td>1 786 грн.</td></tr><tr><th scope=""row"">120х200</th><td>2 339 грн.</td></tr><tr><th scope=""row"">140х200</th><td>2 675 грн.</td></tr><tr><th scope=""row"">150х200</th><td>2 811 грн.</td></tr><tr><th scope=""row"">160х200</th><td>2 940 грн.</td></tr><tr><th scope=""row"">180х200</th><td>3 342 грн.</td></tr><tr><th scope=""row"">200х200</th><td>3 749 грн.</td></tr>";"<tr><th scope=""row"">Ширина, см</th><td>70,80,90,120,140,150,160,180,200</td></tr><tr><th scope=""row"">Довжина, см</th><td>190,200</td></tr><tr><th scope=""row"">Висота, см</th><td>5</td></tr><tr><th scope=""row"">Тип матрацу</th><td>Безпружинний</td></tr><tr><th scope=""row"">Наповнювач </th><td>Комфортна піна з Effect 5D</td></tr><tr><th scope=""row"">Наповнювач №2</th><td>-</td></tr><tr><th scope=""row"">Наповнювач №3</th><td>-</td></tr><tr><th scope=""row"">Тканина чохла</th><td>Чохол із волокнами бамбука</td></tr><tr><th scope=""row"">Тип чохла</th><td>Незнімний</td></tr><tr><th scope=""row"">Жорсткість</th><td>3</td></tr><tr><th scope=""row"">Унікальні властивості</th><td>-</td></tr><tr><th scope=""row"">Тип матраца</th><td>Безпружинний</td></tr>";images/EMM/mini-matras/mn-matrats-matrats-takego-bamboo-top-green/mn-matrats-matrats-takego-bamboo-top-green-kiev-odesa-lviv-4.jpg;images/EMM/mini-matras/img1-EMM.jpg;images/EMM/mini-matras/img2-EMM.jpg;16
Міні-матрац Sleep&Fly mini FLEX MINI жаккард;S-1040-1040-1050;Sleep&Fly mini;mn-matrats-sleepfly-mini-flex-mini-zhakkard-kiev-borispol-brovary-matras;1538;6;4;0;"<tr><th scope=""row"">70х190</th><td>1 538 грн.</td></tr><tr><th scope=""row"">80х190</th><td>1 727 грн.</td></tr><tr><th scope=""row"">90х190</th><td>1 908 грн.</td></tr><tr><th scope=""row"">120х190</th><td>2 499 грн.</td></tr><tr><th scope=""row"">140х190</th><td>2 861 грн.</td></tr><tr><th scope=""row"">150х190</th><td>3 009 грн.</td></tr><tr><th scope=""row"">160х190</th><td>3 149 грн.</td></tr><tr><th scope=""row"">180х190</th><td>3 506 грн.</td></tr><tr><th scope=""row"">80х200</th><td>1 752 грн.</td></tr><tr><th scope=""row"">90х200</th><td>1 935 грн.</td></tr><tr><th scope=""row"">120х200</th><td>2 537 грн.</td></tr><tr><th scope=""row"">140х200</th><td>2 900 грн.</td></tr><tr><th scope=""row"">150х200</th><td>3 047 грн.</td></tr><tr><th scope=""row"">160х200</th><td>3 186 грн.</td></tr><tr><th scope=""row"">180х200</th><td>3 623 грн.</td></tr><tr><th scope=""row"">200х200</th><td>4 062 грн.</td></tr>";"<tr><th scope=""row"">Ширина, см</th><td>70,80,90,120,140,150,160,180,200</td></tr><tr><th scope=""row"">Довжина, см</th><td>190,200</td></tr><tr><th scope=""row"">Висота, см</th><td>6</td></tr><tr><th scope=""row"">Наповнювач </th><td>Ортопедична піна Ergoflex</td></tr><tr><th scope=""row"">Наповнювач №2</th><td>-</td></tr><tr><th scope=""row"">Наповнювач №3</th><td>-</td></tr><tr><th scope=""row"">Тканина чохла</th><td>Тканина жаккард із мікрофіброю підвищеної міцності</td></tr><tr><th scope=""row"">Тип чохла</th><td>Незнімний</td></tr><tr><th scope=""row"">Жорсткість</th><td>4</td></tr><tr><th scope=""row"">Унікальні властивості</th><td>Зручна вакуумна упаковка</td></tr><tr><th scope=""row"">Додатково</th><td>Сумка та ремені у подарунок</td></tr><tr><th scope=""row"">Тип матраца</th><td>Безпружинний</td></tr>";images/EMM/mini-matras/mn-matrats-sleepfly-mini-flex-mini-zhakkard/mn-matrats-sleepfly-mini-flex-mini-zhakkard-kiev-odesa-lviv-5.jpg;images/EMM/mini-matras/img1-EMM.jpg;images/EMM/mini-matras/img2-EMM.jpg;16
Міні-матрац Sleep&Fly mini FLEX 2в1 KOKOS жаккард;S-1040-1040-1050;Sleep&Fly mini;mn-matrats-sleepfly-mini-flex-2v1-kokos-zhakkard-kiev-borispol-brovary-matras;1889;7;5;0;"<tr><th scope=""row"">70х190</th><td>1 889 грн.</td></tr><tr><th scope=""row"">80х190</th><td>2 118 грн.</td></tr><tr><th scope=""row"">90х190</th><td>2 342 грн.</td></tr><tr><th scope=""row"">120х190</th><td>3 068 грн.</td></tr><tr><th scope=""row"">140х190</th><td>3 513 грн.</td></tr><tr><th scope=""row"">150х190</th><td>3 693 грн.</td></tr><tr><th scope=""row"">160х190</th><td>3 866 грн.</td></tr><tr><th scope=""row"">180х190</th><td>4 305 грн.</td></tr><tr><th scope=""row"">80х200</th><td>2 151 грн.</td></tr><tr><th scope=""row"">90х200</th><td>2 376 грн.</td></tr><tr><th scope=""row"">120х200</th><td>3 113 грн.</td></tr><tr><th scope=""row"">140х200</th><td>3 561 грн.</td></tr><tr><th scope=""row"">150х200</th><td>3 741 грн.</td></tr><tr><th scope=""row"">160х200</th><td>3 912 грн.</td></tr><tr><th scope=""row"">180х200</th><td>4 448 грн.</td></tr><tr><th scope=""row"">200х200</th><td>4 988 грн.</td></tr>";"<tr><th scope=""row"">Ширина, см</th><td>70,80,90,120,140,150,160,180,200</td></tr><tr><th scope=""row"">Довжина, см</th><td>190,200</td></tr><tr><th scope=""row"">Висота, см</th><td>7</td></tr><tr><th scope=""row"">Наповнювач </th><td>Ортопедична піна Ergoflex</td></tr><tr><th scope=""row"">Наповнювач №2</th><td>Латексована кокосова койра</td></tr><tr><th scope=""row"">Наповнювач №3</th><td>-</td></tr><tr><th scope=""row"">Тканина чохла</th><td>Тканина жаккард із мікрофіброю підвищеної міцності</td></tr><tr><th scope=""row"">Тип чохла</th><td>Незнімний</td></tr><tr><th scope=""row"">Жорсткість</th><td>5</td></tr><tr><th scope=""row"">Унікальні властивості</th><td>Зручна вакуумна упаковка</td></tr><tr><th scope=""row"">Додатково</th><td>Сумка та ремені у подарунок</td></tr><tr><th scope=""row"">Тип матраца</th><td>Безпружинний</td></tr>";images/EMM/mini-matras/mn-matrats-sleepfly-mini-flex-2v1-kokos-zhakkard/mn-matrats-sleepfly-mini-flex-2v1-kokos-zhakkard-kiev-odesa-lviv-6.jpg;images/EMM/mini-matras/img1-EMM.jpg;images/EMM/mini-matras/img2-EMM.jpg;16
Міні-матрац Sleep&Fly mini SUPER FLEX жаккард;S-1040-1040-1050;Sleep&Fly mini;mn-matrats-sleepfly-mini-super-flex-zhakkard-kiev-borispol-brovary-matras;1889;8;5;0;"<tr><th scope=""row"">70х190</th><td>1 889 грн.</td></tr><tr><th scope=""row"">80х190</th><td>2 118 грн.</td></tr><tr><th scope=""row"">90х190</th><td>2 342 грн.</td></tr><tr><th scope=""row"">120х190</th><td>3 068 грн.</td></tr><tr><th scope=""row"">140х190</th><td>3 513 грн.</td></tr><tr><th scope=""row"">150х190</th><td>3 693 грн.</td></tr><tr><th scope=""row"">160х190</th><td>3 866 грн.</td></tr><tr><th scope=""row"">180х190</th><td>4 305 грн.</td></tr><tr><th scope=""row"">80х200</th><td>2 151 грн.</td></tr><tr><th scope=""row"">90х200</th><td>2 376 грн.</td></tr><tr><th scope=""row"">120х200</th><td>3 113 грн.</td></tr><tr><th scope=""row"">140х200</th><td>3 561 грн.</td></tr><tr><th scope=""row"">150х200</th><td>3 741 грн.</td></tr><tr><th scope=""row"">160х200</th><td>3 912 грн.</td></tr><tr><th scope=""row"">180х200</th><td>4 448 грн.</td></tr><tr><th scope=""row"">200х200</th><td>4 988 грн.</td></tr>";"<tr><th scope=""row"">Ширина, см</th><td>70,80,90,120,140,150,160,180,200</td></tr><tr><th scope=""row"">Довжина, см</th><td>190,200</td></tr><tr><th scope=""row"">Висота, см</th><td>8</td></tr><tr><th scope=""row"">Наповнювач </th><td>Ортопедична піна Ergoflex</td></tr><tr><th scope=""row"">Наповнювач №2</th><td>-</td></tr><tr><th scope=""row"">Наповнювач №3</th><td>-</td></tr><tr><th scope=""row"">Тканина чохла</th><td>Тканина жаккард із мікрофіброю підвищеної міцності</td></tr><tr><th scope=""row"">Тип чохла</th><td>Незнімний</td></tr><tr><th scope=""row"">Жорсткість</th><td>5</td></tr><tr><th scope=""row"">Унікальні властивості</th><td>Зручна вакуумна упаковка</td></tr><tr><th scope=""row"">Додатково</th><td>Сумка та ремені у подарунок</td></tr><tr><th scope=""row"">Тип матраца</th><td>Безпружинний</td></tr>";images/EMM/mini-matras/mn-matrats-sleepfly-mini-super-flex-zhakkard/mn-matrats-sleepfly-mini-super-flex-zhakkard-kiev-odesa-lviv-7.jpg;images/EMM/mini-matras/img1-EMM.jpg;images/EMM/mini-matras/img2-EMM.jpg;16
Міні-матрац Sleep&Fly mini FLEX KOKOS жаккард;S-1040-1040-1050;Sleep&Fly mini;mn-matrats-sleepfly-mini-flex-kokos-zhakkard-kiev-borispol-brovary-matras;1958;8;5;0;"<tr><th scope=""row"">70х190</th><td>1 958 грн.</td></tr><tr><th scope=""row"">80х190</th><td>2 198 грн.</td></tr><tr><th scope=""row"">90х190</th><td>2 427 грн.</td></tr><tr><th scope=""row"">120х190</th><td>3 182 грн.</td></tr><tr><th scope=""row"">140х190</th><td>3 642 грн.</td></tr><tr><th scope=""row"">150х190</th><td>3 830 грн.</td></tr><tr><th scope=""row"">160х190</th><td>4 007 грн.</td></tr><tr><th scope=""row"">180х190</th><td>4 463 грн.</td></tr><tr><th scope=""row"">80х200</th><td>2 231 грн.</td></tr><tr><th scope=""row"">90х200</th><td>2 463 грн.</td></tr><tr><th scope=""row"">120х200</th><td>3 227 грн.</td></tr><tr><th scope=""row"">140х200</th><td>3 690 грн.</td></tr><tr><th scope=""row"">150х200</th><td>3 878 грн.</td></tr><tr><th scope=""row"">160х200</th><td>4 056 грн.</td></tr><tr><th scope=""row"">180х200</th><td>4 610 грн.</td></tr><tr><th scope=""row"">200х200</th><td>5 171 грн.</td></tr>";"<tr><th scope=""row"">Ширина, см</th><td>70,80,90,120,140,150,160,180,200</td></tr><tr><th scope=""row"">Довжина, см</th><td>190,200</td></tr><tr><th scope=""row"">Висота, см</th><td>8</td></tr><tr><th scope=""row"">Наповнювач </th><td>Ортопедична піна Ergoflex</td></tr><tr><th scope=""row"">Наповнювач №2</th><td>Латексована кокосова койра</td></tr><tr><th scope=""row"">Наповнювач №3</th><td>-</td></tr><tr><th scope=""row"">Тканина чохла</th><td>Тканина жаккард із мікрофіброю підвищеної міцності</td></tr><tr><th scope=""row"">Тип чохла</th><td>Незнімний</td></tr><tr><th scope=""row"">Жорсткість</th><td>5</td></tr><tr><th scope=""row"">Унікальні властивості</th><td>Зручна вакуумна упаковка</td></tr><tr><th scope=""row"">Додатково</th><td>Сумка та ремені у подарунок</td></tr><tr><th scope=""row"">Тип матраца</th><td>Безпружинний</td></tr>";images/EMM/mini-matras/mn-matrats-sleepfly-mini-flex-kokos-zhakkard/mn-matrats-sleepfly-mini-flex-kokos-zhakkard-kiev-odesa-lviv-8.jpg;images/EMM/mini-matras/img1-EMM.jpg;images/EMM/mini-matras/img2-EMM.jpg;16
Міні-матрац Sleep&Fly mini MEMO 2в1 FLEX жаккард;S-1040-1040-1050;Sleep&Fly mini;mn-matrats-sleepfly-mini-memo-2v1-flex-zhakkard-kiev-borispol-brovary-matras;2099;8;4;0;"<tr><th scope=""row"">70х190</th><td>2 099 грн.</td></tr><tr><th scope=""row"">80х190</th><td>2 355 грн.</td></tr><tr><th scope=""row"">90х190</th><td>2 603 грн.</td></tr><tr><th scope=""row"">120х190</th><td>3 410 грн.</td></tr><tr><th scope=""row"">140х190</th><td>3 903 грн.</td></tr><tr><th scope=""row"">150х190</th><td>4 103 грн.</td></tr><tr><th scope=""row"">160х190</th><td>4 295 грн.</td></tr><tr><th scope=""row"">180х190</th><td>4 784 грн.</td></tr><tr><th scope=""row"">80х200</th><td>2 391 грн.</td></tr><tr><th scope=""row"">90х200</th><td>2 640 грн.</td></tr><tr><th scope=""row"">120х200</th><td>3 459 грн.</td></tr><tr><th scope=""row"">140х200</th><td>3 957 грн.</td></tr><tr><th scope=""row"">150х200</th><td>4 157 грн.</td></tr><tr><th scope=""row"">160х200</th><td>4 347 грн.</td></tr><tr><th scope=""row"">180х200</th><td>4 941 грн.</td></tr><tr><th scope=""row"">200х200</th><td>5 543 грн.</td></tr>";"<tr><th scope=""row"">Ширина, см</th><td>70,80,90,120,140,150,160,180,200</td></tr><tr><th scope=""row"">Довжина, см</th><td>190,200</td></tr><tr><th scope=""row"">Висота, см</th><td>8</td></tr><tr><th scope=""row"">Наповнювач </th><td>Ортопедична піна Ergoflex</td></tr><tr><th scope=""row"">Наповнювач №2</th><td>Термоповсть</td></tr><tr><th scope=""row"">Наповнювач №3</th><td>Пена Memory Foam</td></tr><tr><th scope=""row"">Тканина чохла</th><td>Тканина жаккард із мікрофіброю підвищеної міцності</td></tr><tr><th scope=""row"">Тип чохла</th><td>Незнімний</td></tr><tr><th scope=""row"">Жорсткість</th><td>4</td></tr><tr><th scope=""row"">Унікальні властивості</th><td>Зручна вакуумна упаковка</td></tr><tr><th scope=""row"">Додатково</th><td>Сумка та ремені у подарунок</td></tr><tr><th scope=""row"">Тип матраца</th><td>Безпружинний</td></tr>";images/EMM/mini-matras/mn-matrats-sleepfly-mini-memo-2v1-flex-zhakkard/mn-matrats-sleepfly-mini-memo-2v1-flex-zhakkard-kiev-odesa-lviv-9.jpg;images/EMM/mini-matras/img1-EMM.jpg;images/EMM/mini-matras/img2-EMM.jpg;16
